date,botten_ada
2026-06-14,0.051
2026-06-15,0.051
2026-06-16,0.051
2026-06-17,0.05
2026-06-18,0.057
2026-06-19,0.057
2026-06-20,0.057
2026-06-21,0.057
2026-06-22,0.057
2026-06-23,0.057
2026-06-24,0.042
2026-06-25,0.046
2026-06-26,0.046
2026-06-27,0.046
2026-06-28,0.046
2026-06-29,0.046
2026-06-30,0.046
2026-07-01,0.046
2026-07-02,0.046
2026-07-03,0.046
2026-07-04,0.046
2026-07-05,0.046
2026-07-06,0.046
2026-07-07,0.046
2026-07-08,0.046
2026-07-09,0.046
2026-07-10,0.046
2026-07-11,0.046
2026-07-12,0.046
2026-07-13,0.046
2026-07-14,0.046
2026-07-15,0.046
2026-07-16,0.046
2026-07-17,0.046
2026-07-18,0.046
2026-07-19,0.044
2026-07-20,0.044
2026-07-21,0.044
2026-07-22,0.044
2026-07-23,0.053
2026-07-24,0.053
2026-07-25,0.053
2026-07-26,0.053
2026-07-27,0.053
2026-07-28,0.053
2026-07-29,0.053
2026-07-30,0.053
2026-07-31,0.053
2026-08-01,0.053
2026-08-02,0.053
2026-08-03,0.053
2026-08-04,0.053
2026-08-05,0.053
2026-08-06,0.047
2026-08-07,0.047
2026-08-08,0.047
2026-08-09,0.047
2026-08-10,0.047
2026-08-11,0.047
2026-08-12,0.047
2026-08-13,0.061
2026-08-14,0.061
2026-08-15,0.061
2026-08-16,0.061
2026-08-17,0.061
2026-08-18,0.063
2026-08-19,0.054
2026-08-20,0.067
2026-08-21,0.067
2026-08-22,0.067
2026-08-23,0.067
2026-08-24,0.067
2026-08-25,0.067
2026-08-26,0.052
2026-08-27,0.057
2026-08-28,0.057
2026-08-29,0.057
2026-08-30,0.057
2026-08-31,0.057
2026-09-01,0.057
2026-09-02,0.079
2026-09-03,0.078
2026-09-04,0.086
2026-09-05,0.077
2026-09-06,0.077
