date,botten_ada,betsson,kambi
2026-06-14,0.871,,
2026-06-15,0.871,,
2026-06-16,0.871,,
2026-06-17,0.868,,
2026-06-18,0.858,,
2026-06-19,0.858,,
2026-06-20,0.858,,
2026-06-21,0.858,,
2026-06-22,0.858,,
2026-06-23,0.881,,
2026-06-24,0.871,,
2026-06-25,0.881,,
2026-06-26,0.881,,
2026-06-27,0.881,,
2026-06-28,0.881,,
2026-06-29,0.881,,
2026-06-30,0.881,,
2026-07-01,0.881,,
2026-07-02,0.881,,
2026-07-03,0.881,,
2026-07-04,0.881,,
2026-07-05,0.881,,
2026-07-06,0.881,,
2026-07-07,0.881,,
2026-07-08,0.881,,
2026-07-09,0.881,,
2026-07-10,0.881,,
2026-07-11,0.881,,
2026-07-12,0.881,,
2026-07-13,0.881,,
2026-07-14,0.881,,
