date,botten_ada
2026-06-14,0.856
2026-06-15,0.856
2026-06-16,0.856
2026-06-17,0.897
2026-06-18,0.894
2026-06-19,0.894
2026-06-20,0.894
2026-06-21,0.894
2026-06-22,0.894
2026-06-23,0.874
2026-06-24,0.859
2026-06-25,0.867
2026-06-26,0.867
2026-06-27,0.867
2026-06-28,0.867
2026-06-29,0.867
2026-06-30,0.867
2026-07-01,0.867
2026-07-02,0.867
2026-07-03,0.867
2026-07-04,0.867
2026-07-05,0.867
2026-07-06,0.867
2026-07-07,0.867
2026-07-08,0.867
2026-07-09,0.867
2026-07-10,0.867
2026-07-11,0.867
2026-07-12,0.867
2026-07-13,0.867
2026-07-14,0.867
2026-07-15,0.867
2026-07-16,0.867
2026-07-17,0.867
2026-07-18,0.867
2026-07-19,0.866
2026-07-20,0.866
2026-07-21,0.866
2026-07-22,0.866
2026-07-23,0.871
2026-07-24,0.871
2026-07-25,0.871
2026-07-26,0.871
2026-07-27,0.871
2026-07-28,0.871
2026-07-29,0.871
2026-07-30,0.871
2026-07-31,0.871
2026-08-01,0.871
2026-08-02,0.871
2026-08-03,0.871
2026-08-04,0.871
