date,botten_ada,betsson,kambi
2026-06-14,0.955,,
2026-06-15,0.955,,
2026-06-16,0.955,,
2026-06-17,0.955,,
2026-06-18,0.947,,
2026-06-19,0.947,,
2026-06-20,0.947,,
2026-06-21,0.947,,
2026-06-22,0.947,,
2026-06-23,0.961,,
2026-06-24,0.945,,
2026-06-25,0.952,,
2026-06-26,0.952,,
2026-06-27,0.952,,
2026-06-28,0.952,,
2026-06-29,0.952,,
2026-06-30,0.952,,
2026-07-01,0.952,,
2026-07-02,0.952,,
2026-07-03,0.952,,
2026-07-04,0.952,,
