date,botten_ada,betsson,kambi
2026-06-14,0.501,,0.3846
2026-06-15,0.501,,0.3846
2026-06-16,0.501,,0.3846
2026-06-17,0.505,,0.3088
2026-06-18,0.507,,0.3088
2026-06-19,0.507,,0.3088
2026-06-20,0.507,,0.3088
2026-06-21,0.507,,0.3088
2026-06-22,0.507,,0.3088
2026-06-23,0.503,,0.3088
2026-06-24,0.513,,0.3088
2026-06-25,0.503,,0.3088
2026-06-26,0.503,,0.3088
2026-06-27,0.503,,0.3088
2026-06-28,0.503,,0.3088
2026-06-29,0.503,,0.3088
2026-06-30,0.503,,0.3088
2026-07-01,0.503,,0.3088
2026-07-02,0.503,,0.3088
2026-07-03,0.503,,0.3088
2026-07-04,0.503,,0.3088
2026-07-05,0.503,,0.3088
2026-07-06,0.503,,0.3088
2026-07-07,0.503,,0.3088
2026-07-08,0.503,,0.3088
2026-07-09,0.503,,0.3088
2026-07-10,0.503,,0.3088
2026-07-11,0.503,,0.3088
2026-07-12,0.503,,0.3088
2026-07-13,0.503,,0.3088
2026-07-14,0.503,,0.3088
2026-07-15,0.503,,0.3088
